,Country,Fulfill Via,Shipment Mode,Sub Classification,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
198,Rwanda,Direct Drop,Air,Adult,60,47879,569281.31,11.89,0.2,Yes,5311.0,30408.04,910.85
199,Rwanda,Direct Drop,Air,Adult,60,61021,725539.69,11.89,0.2,Yes,6768.0,38120.96,1160.86
201,Vietnam,Direct Drop,Air,Adult,60,18030,26143.5,1.45,0.02,Yes,1114.0,5822.44,41.83
206,Zambia,Direct Drop,Air,HIV test - Ancillary,100,3000,30.0,0.01,0.0,Yes,889.0,7303.52,0.05
207,Guyana,Direct Drop,Air,HIV test,100,213,15333.87,71.99,0.72,Yes,49.0,1047.39,30.05
208,Nigeria,Direct Drop,Air,HIV test - Ancillary,100,6502,65.02,0.01,0.0,Yes,1927.0,24870.05,0.1
209,Nigeria,Direct Drop,Air,HIV test,100,6875,549931.25,79.99,0.8,Yes,1566.0,19992.75,879.89
210,Vietnam,Direct Drop,Air,Adult,120,434,35674.8,82.2,0.68,Yes,113.0,2709.98,69.92
211,Vietnam,Direct Drop,Air,Adult,60,1100,12540.0,11.4,0.19,Yes,159.0,2568.6,24.58
212,Vietnam,Direct Drop,Air,Adult,30,8400,85596.0,10.19,0.34,Yes,613.0,3247.73,167.77
213,Vietnam,Direct Drop,Air,Adult,60,3648,26448.0,7.25,0.12,Yes,323.0,2335.19,51.84
214,Guyana,Direct Drop,Air,Malaria,25,108,4050.0,37.5,1.5,Yes,34.0,648.27,7.94
215,Ethiopia,Direct Drop,Air,HIV test,20,5958,160866.0,27.0,1.35,Yes,2147.0,11066.17,257.39
216,Ethiopia,Direct Drop,Air,HIV test,20,3982,107514.0,27.0,1.35,Yes,1445.0,7303.25,210.73
217,Ethiopia,Direct Drop,Air,HIV test,1,6998,160954.0,23.0,23.0,Yes,5057.0,44347.71,257.53
220,Ethiopia,Direct Drop,Air,HIV test,1,3470,79810.0,23.0,23.0,Yes,2509.0,19882.25,156.43
221,Ethiopia,Direct Drop,Air,HIV test,1,3510,80730.0,23.0,23.0,Yes,2535.0,22433.91,158.23
223,Vietnam,Direct Drop,Air,Adult,60,6000,17400.0,2.9,0.05,Yes,581.0,2653.27,34.1
228,Nigeria,Direct Drop,Air,HIV test,100,5751,460080.0,80.0,0.8,Yes,1723.0,22451.67,901.76
229,Namibia,Direct Drop,Air,HIV test,25,3,225.0,75.0,3.0,Yes,3.0,963.34,0.44
230,Guyana,Direct Drop,Air,HIV test,20,100,2700.0,27.0,1.35,Yes,28.0,692.38,5.29
231,Namibia,Direct Drop,Air,HIV test,20,68,2176.0,32.0,1.6,Yes,22.0,1003.52,4.26
232,Vietnam,Direct Drop,Air,Adult,60,9000,21600.0,2.4,0.04,Yes,2228.0,9809.7,42.34
234,Nigeria,Direct Drop,Air,Adult,30,25000,1260000.0,50.4,1.68,Yes,2067.0,7933.38,2469.6
235,Haiti,Direct Drop,Air,HIV test,100,1680,117600.0,70.0,0.7,Yes,382.0,3241.06,230.5
236,Haiti,Direct Drop,Air,Pediatric,100,2100,10500.0,5.0,0.05,Yes,187.0,1903.54,20.58
237,Mozambique,Direct Drop,Air,HIV test,100,9000,648000.0,72.0,0.72,Yes,2655.0,25052.69,1270.08
247,Uganda,Direct Drop,Air,Adult,30,60,1100.4,18.34,0.61,Yes,3000.0,428.91,2.16
251,Rwanda,Direct Drop,Air,Adult,60,7840,71344.0,9.1,0.15,Yes,719.0,853.88,139.83
255,Guyana,Direct Drop,Air,HIV test,100,425,38250.0,90.0,0.9,Yes,130.0,1859.79,74.97
256,Guyana,Direct Drop,Air,HIV test,100,276,24840.0,90.0,0.9,Yes,87.0,1205.7,48.69
258,Nigeria,Direct Drop,Air,Adult,120,73,3000.3,41.1,0.34,Yes,69.0,1332.43,5.88
259,Kenya,Direct Drop,Air,HIV test,20,5,160.0,32.0,1.6,Yes,2.0,12561.4,0.31
260,Kenya,Direct Drop,Air,HIV test,20,4995,159840.0,32.0,1.6,Yes,4995.0,275.0,313.29
261,Nigeria,Direct Drop,Air,Adult,120,2040,83844.0,41.1,0.34,Yes,309.0,3777.93,164.33
262,Rwanda,Direct Drop,Air,Adult,60,26932,317528.28,11.79,0.2,Yes,3393.0,30661.5,622.36
263,Côte d'Ivoire,Direct Drop,Air,HIV test,40,1000,110000.0,110.0,2.75,Yes,1073.0,8114.11,215.6
264,Namibia,Direct Drop,Air,HIV test,100,800,56000.0,70.0,0.7,Yes,195.0,2008.54,109.76
265,Vietnam,Direct Drop,Air,Adult,30,150,1950.0,13.0,0.43,Yes,30.0,4111.71,3.82
266,Côte d'Ivoire,Direct Drop,Air,HIV test,40,140,15400.0,110.0,2.75,Yes,158.0,4318.21,30.18
267,Namibia,Direct Drop,Air,Pediatric,60,2000,3800.0,1.9,0.03,Yes,251.0,1484.75,7.45
271,Zambia,Direct Drop,Air,HIV test,100,2000,144000.0,72.0,0.72,Yes,590.0,5962.58,310.46
272,Guyana,Direct Drop,Air,Adult,120,2733,224625.27,82.19,0.68,Yes,589.0,314.0,440.27
273,Côte d'Ivoire,Direct Drop,Air,HIV test,40,100,7535.0,75.35,1.88,Yes,107.0,1845.74,67.98
274,Haiti,Direct Drop,Air,HIV test,100,45,7875.0,175.0,1.75,Yes,29.0,854.34,67.98
275,Vietnam,Direct Drop,Air,Adult,30,1000,17000.0,17.0,0.57,Yes,61.0,7682.69,67.98
280,Zambia,Direct Drop,Air,Pediatric,240,906,19071.3,21.05,0.09,Yes,316.0,3850.8,67.98
281,Zambia,Direct Drop,Air,Adult,60,38780,432009.2,11.14,0.19,Yes,3217.0,14364.29,67.98
284,Zambia,Direct Drop,Air,Adult,30,60784,1018132.0,16.75,0.56,Yes,11179.0,49824.57,67.98
285,Vietnam,Direct Drop,Air,Pediatric,240,1000,5050.0,5.05,0.02,Yes,3822.0,25124.12,67.98
287,Haiti,Direct Drop,Air,HIV test,100,25,10000.0,400.0,4.0,Yes,60.0,1498.02,67.98
288,Vietnam,Direct Drop,Air,Adult,60,25000,187500.0,7.5,0.12,Yes,2336.0,21150.56,300.0
290,Côte d'Ivoire,Direct Drop,Air,HIV test,100,50,20000.0,400.0,4.0,Yes,120.0,3004.62,67.98
291,Nigeria,Direct Drop,Air,HIV test,20,10000,270000.0,27.0,1.35,Yes,3045.0,28118.58,432.0
292,Nigeria,Direct Drop,Air,HIV test,20,11500,310500.0,27.0,1.35,Yes,3276.0,43664.71,496.8
293,Nigeria,Direct Drop,Air,HIV test,20,8000,216000.0,27.0,1.35,Yes,2603.0,22838.29,345.6
294,Vietnam,Direct Drop,Air,Adult,30,22500,277425.0,12.33,0.41,Yes,2895.0,18045.24,443.88
296,Vietnam,Direct Drop,Air,Pediatric,60,800,5600.0,7.0,0.12,Yes,161.0,2514.05,8.96
297,Vietnam,Direct Drop,Air,Pediatric,300,200,16440.0,82.2,0.27,Yes,340.0,2326.1,26.3
298,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3336.0,27791.62,320.0
299,Tanzania,Direct Drop,Air,HIV test,25,5000,100000.0,20.0,0.8,Yes,1456.0,14505.37,160.0
301,Ethiopia,Direct Drop,Air,Adult,60,35065,54350.75,1.55,0.03,Yes,2318.0,6755.81,86.96
302,Guyana,Direct Drop,Air,HIV test,20,2220,71040.0,32.0,1.6,Yes,732.0,6524.19,113.66
307,Rwanda,Direct Drop,Air,HIV test,20,4500,144000.0,32.0,1.6,Yes,2300.0,38425.29,230.4
308,Vietnam,Direct Drop,Air,Adult,60,400,600.0,1.5,0.02,Yes,83.0,2426.05,0.96
316,Nigeria,Direct Drop,Air,HIV test,20,9048,244296.0,27.0,1.35,Yes,2985.0,20635.3,390.87
317,Nigeria,Direct Drop,Air,HIV test,100,3000,239970.0,79.99,0.8,Yes,861.0,12770.05,383.95
318,Nigeria,Direct Drop,Air,HIV test,100,3199,255888.01,79.99,0.8,Yes,550.0,8213.59,409.42
322,Zambia,Direct Drop,Air,HIV test,100,2000,143980.0,71.99,0.72,Yes,455.0,4113.16,230.37
323,Côte d'Ivoire,Direct Drop,Air,HIV test,100,70,5039.3,71.99,0.72,Yes,16.0,515.48,8.06
324,Côte d'Ivoire,Direct Drop,Air,HIV test,100,1116,78120.0,70.0,0.7,Yes,255.0,5303.05,124.99
325,Uganda,Direct Drop,Air,HIV test,100,850,61191.5,71.99,0.72,Yes,194.0,2642.45,97.91
328,Vietnam,Direct Drop,Air,Adult,60,520,13000.0,25.0,0.42,Yes,137.0,5260.46,20.8
329,Vietnam,Direct Drop,Air,Adult,60,2576,3889.76,1.51,0.03,Yes,121.0,2789.74,6.22
330,Vietnam,Direct Drop,Air,Adult,60,2464,3720.64,1.51,0.03,Yes,114.0,2879.96,5.95
331,Botswana,Direct Drop,Air,HIV test,100,100,7199.0,71.99,0.72,Yes,25.0,641.04,11.52
333,Botswana,Direct Drop,Air,HIV test,100,100,7199.0,71.99,0.72,Yes,25.0,1038.39,11.52
338,Haiti,Direct Drop,Air,HIV test,100,1123,78610.0,70.0,0.7,Yes,257.0,2873.56,154.08
339,Zambia,Direct Drop,Air,HIV test,20,9000,288000.0,32.0,1.6,Yes,3000.0,34902.96,460.8
340,Vietnam,Direct Drop,Air,Adult,30,2016,24917.76,12.36,0.41,Yes,120.0,5921.97,39.87
342,Nigeria,Direct Drop,Air,HIV test,20,12315,332505.0,27.0,1.35,Yes,3508.0,29954.15,532.01
343,Uganda,Direct Drop,Air,Adult,30,50,1183.5,23.67,0.79,Yes,2.0,330.0,1.89
344,Vietnam,Direct Drop,Air,Adult,60,1440,10440.0,7.25,0.12,Yes,128.0,2147.61,20.46
346,Ethiopia,Direct Drop,Air,HIV test,1,6998,160954.0,23.0,23.0,Yes,4913.0,46117.09,315.47
352,Mozambique,Direct Drop,Air,HIV test,100,1000,80000.0,80.0,0.8,Yes,337.0,3499.18,156.8
353,Mozambique,Direct Drop,Air,HIV test,100,1000,71990.0,71.99,0.72,Yes,296.0,2648.82,115.18
354,Côte d'Ivoire,Direct Drop,Air,HIV test,40,862,65512.0,76.0,1.9,Yes,963.0,25080.52,128.4
355,Nigeria,Direct Drop,Air,Adult,30,5900,297360.0,50.4,1.68,Yes,493.0,1727.2,475.78
356,Zambia,Direct Drop,Air,HIV test,100,5500,395945.0,71.99,0.72,Yes,1624.0,12646.15,776.05
357,Vietnam,Direct Drop,Air,Adult,60,6156,14774.4,2.4,0.04,Yes,1044.0,3854.23,28.96
358,Namibia,Direct Drop,Air,HIV test,100,150,10800.0,72.0,0.72,Yes,46.0,2946.64,21.17
359,Uganda,Direct Drop,Air,Adult,30,50,917.0,18.34,0.61,Yes,2.0,378.0,1.8
360,Ethiopia,Direct Drop,Air,HIV test,1,3510,80730.0,23.0,23.0,Yes,2535.0,20083.74,158.23
362,Tanzania,Direct Drop,Air,HIV test,20,839,26848.0,32.0,1.6,Yes,284.0,3261.37,52.62
363,Nigeria,Direct Drop,Air,HIV test,100,5259,420720.0,80.0,0.8,Yes,1584.0,22775.45,824.61
365,Guyana,Direct Drop,Air,HIV test,20,1062,33984.0,32.0,1.6,Yes,355.0,4457.29,66.61
366,Guyana,Direct Drop,Air,HIV test,100,213,15336.0,72.0,0.72,Yes,64.0,1083.36,30.06
367,Vietnam,Direct Drop,Air,Adult,60,336,2520.0,7.5,0.12,Yes,18.0,2525.73,4.94
369,Rwanda,Direct Drop,Air,HIV test,100,386,27020.0,70.0,0.7,Yes,88.0,3936.25,52.96
371,Haiti,Direct Drop,Air,Adult,120,1470,60417.0,41.1,0.34,Yes,362.0,2490.67,118.42
394,Botswana,Direct Drop,Air,HIV test,100,20,7000.0,350.0,3.5,Yes,48.0,684.42,13.72
396,Kenya,Direct Drop,Air,HIV test,100,7500,600000.0,80.0,0.8,Yes,2215.0,17974.65,1176.0
397,Rwanda,Direct Drop,Air,Adult,60,54432,641753.28,11.79,0.2,Yes,7278.0,61925.7,1257.84
398,Namibia,Direct Drop,Air,HIV test,100,180,12600.0,70.0,0.7,Yes,43.0,2760.11,24.7
400,Vietnam,Direct Drop,Air,Adult,60,35616,240408.0,6.75,0.11,Yes,3479.0,10048.1,471.2
401,Vietnam,Direct Drop,Air,Adult,30,6552,42588.0,6.5,0.22,Yes,524.0,4453.71,83.47
402,Vietnam,Direct Drop,Air,Adult,60,15960,23142.0,1.45,0.02,Yes,1815.0,9931.49,45.36
404,Botswana,Direct Drop,Air,HIV test,100,1,350.0,350.0,3.5,Yes,3.0,597.43,0.69
412,Côte d'Ivoire,Direct Drop,Air,HIV test,25,44,1375.0,31.25,1.25,Yes,15.0,633.73,67.98
413,Uganda,Direct Drop,Air,Adult,60,5080,55880.0,11.0,0.18,Yes,1172.0,5595.44,67.98
414,Vietnam,Direct Drop,Air,Adult,270,200,32688.0,163.44,0.61,Yes,54.0,13981.96,67.98
415,Rwanda,Direct Drop,Air,HIV test,30,2000,42000.0,21.0,0.7,Yes,600.0,5714.31,67.98
416,Rwanda,Direct Drop,Air,HIV test,20,500,20000.0,40.0,2.0,Yes,173.0,17928.53,67.98
417,Zambia,Direct Drop,Air,HIV test,100,2500,200000.0,80.0,0.8,Yes,857354.0,5157.65,67.98
418,Zambia,Direct Drop,Air,HIV test,25,400,8000.0,20.0,0.8,Yes,134.0,963.73,67.98
419,Haiti,Direct Drop,Air,HIV test,100,125,17375.0,139.0,1.39,Yes,78.0,4702.79,67.98
420,Nigeria,Direct Drop,Air,HIV test,100,1500,120000.0,80.0,0.8,Yes,512.0,3906.29,192.0
422,Vietnam,Direct Drop,Air,Adult,120,1000,82190.0,82.19,0.68,Yes,226.0,2923.46,131.5
425,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3338.0,28466.06,320.0
426,Tanzania,Direct Drop,Air,HIV test,25,10000,200000.0,20.0,0.8,Yes,3112.0,22856.02,392.0
428,Côte d'Ivoire,Direct Drop,Air,HIV test,20,250,6750.0,27.0,1.35,Yes,68.0,1711.86,10.8
432,Rwanda,Direct Drop,Air,Adult,60,38784,271488.0,7.0,0.12,Yes,4124.0,10500.0,434.38
